Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2412-il-200000-n5
Airfoil,naca2412-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,62.6181
Max Cl/Cd alpha,5.25
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2412-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.750,-0.8240,0.07577,0.07147,-0.0436,1.0000,0.0283
-13.500,-0.8677,0.06288,0.05833,-0.0542,1.0000,0.0281
-13.250,-0.8961,0.05413,0.04931,-0.0618,1.0000,0.0281
-13.000,-0.9170,0.04815,0.04305,-0.0662,1.0000,0.0282
-12.750,-0.9337,0.04398,0.03858,-0.0676,1.0000,0.0285
-12.500,-0.9470,0.04105,0.03537,-0.0664,1.0000,0.0288
-12.250,-0.9475,0.03932,0.03360,-0.0645,1.0000,0.0293
-12.000,-0.9414,0.03798,0.03222,-0.0630,1.0000,0.0298
-11.750,-0.9340,0.03669,0.03084,-0.0614,1.0000,0.0304
-11.500,-0.9264,0.03534,0.02936,-0.0597,1.0000,0.0311
-11.250,-0.9188,0.03388,0.02773,-0.0578,1.0000,0.0319
-11.000,-0.9106,0.03240,0.02603,-0.0558,1.0000,0.0327
-10.750,-0.9011,0.03098,0.02437,-0.0537,1.0000,0.0336
-10.500,-0.8900,0.02972,0.02284,-0.0517,1.0000,0.0344
-10.250,-0.8770,0.02850,0.02159,-0.0500,1.0000,0.0353
-10.000,-0.8624,0.02761,0.02065,-0.0483,1.0000,0.0361
-9.750,-0.8473,0.02674,0.01971,-0.0465,1.0000,0.0369
-9.500,-0.8319,0.02588,0.01875,-0.0448,1.0000,0.0380
-9.250,-0.8160,0.02502,0.01774,-0.0431,1.0000,0.0391
-9.000,-0.7997,0.02417,0.01672,-0.0414,1.0000,0.0401
-8.750,-0.7826,0.02336,0.01575,-0.0397,1.0000,0.0410
-8.500,-0.7663,0.02242,0.01480,-0.0381,1.0000,0.0420
-8.250,-0.7487,0.02176,0.01412,-0.0366,1.0000,0.0431
-8.000,-0.7266,0.02113,0.01343,-0.0360,0.9992,0.0445
-7.750,-0.6945,0.02039,0.01259,-0.0373,0.9963,0.0461
-7.500,-0.6618,0.01967,0.01175,-0.0387,0.9935,0.0476
-7.250,-0.6308,0.01893,0.01094,-0.0398,0.9898,0.0492
-7.000,-0.5984,0.01828,0.01029,-0.0412,0.9864,0.0514
-6.750,-0.5640,0.01774,0.00970,-0.0428,0.9837,0.0540
-6.500,-0.5333,0.01721,0.00909,-0.0437,0.9787,0.0566
-6.250,-0.4997,0.01661,0.00848,-0.0452,0.9747,0.0598
-6.000,-0.4642,0.01612,0.00797,-0.0470,0.9713,0.0643
-5.750,-0.4327,0.01565,0.00750,-0.0479,0.9650,0.0700
-5.500,-0.3964,0.01523,0.00704,-0.0498,0.9610,0.0781
-5.250,-0.3641,0.01479,0.00665,-0.0508,0.9555,0.0873
-5.000,-0.3324,0.01440,0.00628,-0.0517,0.9493,0.0972
-4.750,-0.2978,0.01403,0.00590,-0.0531,0.9451,0.1090
-4.500,-0.2696,0.01371,0.00561,-0.0532,0.9369,0.1216
-4.250,-0.2371,0.01335,0.00530,-0.0542,0.9310,0.1370
-4.000,-0.2081,0.01302,0.00504,-0.0545,0.9230,0.1556
-3.750,-0.1774,0.01268,0.00479,-0.0551,0.9157,0.1810
-3.500,-0.1486,0.01235,0.00458,-0.0553,0.9070,0.2122
-3.250,-0.1186,0.01202,0.00437,-0.0557,0.8988,0.2448
