Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0012h-sa-200000-n5
Airfoil,naca0012h-sa
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,46.558
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0012h-sa-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.000,-1.0911,0.10452,0.09971,-0.0053,1.0000,0.0463
-16.750,-1.1460,0.09023,0.08513,-0.0143,1.0000,0.0464
-16.500,-1.1812,0.07999,0.07463,-0.0208,1.0000,0.0467
-16.250,-1.2005,0.07312,0.06761,-0.0249,1.0000,0.0471
-16.000,-1.2125,0.06767,0.06206,-0.0279,1.0000,0.0475
-15.750,-1.2238,0.06248,0.05675,-0.0309,1.0000,0.0479
-15.500,-1.2328,0.05782,0.05197,-0.0334,1.0000,0.0484
-15.250,-1.2398,0.05368,0.04770,-0.0354,1.0000,0.0489
-15.000,-1.2448,0.05003,0.04392,-0.0368,1.0000,0.0495
-14.750,-1.2482,0.04681,0.04055,-0.0378,1.0000,0.0503
-14.500,-1.2499,0.04398,0.03756,-0.0382,1.0000,0.0511
-14.250,-1.2502,0.04147,0.03489,-0.0381,1.0000,0.0519
-14.000,-1.2489,0.03926,0.03248,-0.0376,1.0000,0.0529
-13.750,-1.2459,0.03734,0.03041,-0.0367,1.0000,0.0537
-13.500,-1.2411,0.03574,0.02877,-0.0355,1.0000,0.0546
-13.250,-1.2347,0.03436,0.02733,-0.0341,1.0000,0.0555
-13.000,-1.2271,0.03312,0.02600,-0.0325,1.0000,0.0565
-12.750,-1.2184,0.03199,0.02476,-0.0307,1.0000,0.0577
-12.500,-1.2087,0.03093,0.02357,-0.0288,1.0000,0.0590
-12.250,-1.1974,0.02993,0.02241,-0.0270,1.0000,0.0604
-12.000,-1.1845,0.02892,0.02134,-0.0254,1.0000,0.0617
-11.750,-1.1699,0.02805,0.02045,-0.0239,1.0000,0.0630
-11.500,-1.1537,0.02724,0.01958,-0.0226,1.0000,0.0646
-11.250,-1.1363,0.02647,0.01870,-0.0214,1.0000,0.0664
-11.000,-1.1179,0.02571,0.01782,-0.0202,1.0000,0.0683
-10.750,-1.0998,0.02492,0.01697,-0.0190,1.0000,0.0701
-10.500,-1.0812,0.02422,0.01626,-0.0178,1.0000,0.0719
-10.250,-1.0613,0.02359,0.01557,-0.0168,1.0000,0.0740
-10.000,-1.0407,0.02298,0.01487,-0.0157,1.0000,0.0764
-9.750,-1.0198,0.02237,0.01416,-0.0147,1.0000,0.0787
-9.500,-0.9999,0.02173,0.01354,-0.0136,1.0000,0.0811
-9.250,-0.9787,0.02120,0.01298,-0.0126,1.0000,0.0836
-9.000,-0.9570,0.02069,0.01240,-0.0116,1.0000,0.0865
-8.750,-0.9353,0.02017,0.01182,-0.0106,1.0000,0.0893
-8.500,-0.9144,0.01964,0.01132,-0.0095,1.0000,0.0922
-8.250,-0.8926,0.01920,0.01085,-0.0084,1.0000,0.0954
-8.000,-0.8704,0.01878,0.01036,-0.0074,1.0000,0.0988
-7.750,-0.8492,0.01831,0.00990,-0.0062,1.0000,0.1021
-7.500,-0.8278,0.01791,0.00950,-0.0051,1.0000,0.1058
-7.250,-0.8058,0.01754,0.00910,-0.0039,1.0000,0.1098
-7.000,-0.7842,0.01716,0.00871,-0.0027,1.0000,0.1136
-6.750,-0.7628,0.01678,0.00836,-0.0015,1.0000,0.1179
-6.500,-0.7408,0.01647,0.00803,-0.0004,1.0000,0.1225
-6.250,-0.7191,0.01614,0.00769,0.0008,1.0000,0.1269
-6.000,-0.6977,0.01581,0.00741,0.0020,1.0000,0.1319
-5.750,-0.6757,0.01555,0.00712,0.0032,1.0000,0.1372
-5.500,-0.6542,0.01525,0.00685,0.0044,1.0000,0.1422
-5.250,-0.6326,0.01499,0.00662,0.0056,1.0000,0.1481
-4.750,-0.5892,0.01451,0.00619,0.0079,1.0000,0.1602
-4.500,-0.5645,0.01431,0.00600,0.0085,0.9992,0.1675
-4.250,-0.5259,0.01404,0.00579,0.0062,0.9942,0.1763
-4.000,-0.4879,0.01381,0.00559,0.0041,0.9884,0.1860
-3.750,-0.4496,0.01355,0.00541,0.0019,0.9828,0.1964
-3.500,-0.4128,0.01331,0.00522,0.0001,0.9758,0.2067
-3.250,-0.3731,0.01308,0.00503,-0.0023,0.9692,0.2186
-3.000,-0.3389,0.01282,0.00485,-0.0035,0.9594,0.2303
-2.750,-0.3036,0.01257,0.00467,-0.0048,0.9491,0.2427
-2.500,-0.2683,0.01233,0.00450,-0.0061,0.9382,0.2561
-2.250,-0.2366,0.01211,0.00434,-0.0067,0.9241,0.2701
-2.000,-0.2054,0.01188,0.00416,-0.0070,0.9087,0.2853
-1.750,-0.1748,0.01162,0.00397,-0.0073,0.8905,0.3014
-1.500,-0.1454,0.01135,0.00377,-0.0072,0.8686,0.3203
-1.250,-0.1188,0.01103,0.00359,-0.0066,0.8429,0.3483
-1.000,-0.0936,0.01065,0.00344,-0.0057,0.8157,0.4094
-0.750,-0.0704,0.01029,0.00333,-0.0043,0.7816,0.4903
-0.500,-0.0471,0.01005,0.00326,-0.0029,0.7459,0.5591
-0.250,-0.0236,0.00992,0.00322,-0.0015,0.7081,0.6165
0.000,0.0000,0.00987,0.00321,0.0000,0.6649,0.6649
0.250,0.0236,0.00992,0.00322,0.0015,0.6164,0.7082
0.500,0.0471,0.01005,0.00326,0.0029,0.5592,0.7459
0.750,0.0704,0.01029,0.00333,0.0043,0.4903,0.7817
1.000,0.0937,0.01065,0.00344,0.0057,0.4095,0.8156
1.250,0.1188,0.01103,0.00359,0.0066,0.3484,0.8429
1.500,0.1455,0.01135,0.00377,0.0072,0.3203,0.8686
1.750,0.1748,0.01162,0.00397,0.0072,0.3015,0.8905
2.000,0.2054,0.01188,0.00416,0.0070,0.2853,0.9087
2.250,0.2366,0.01211,0.00434,0.0067,0.2701,0.9241
2.500,0.2683,0.01233,0.00450,0.0061,0.2561,0.9383
2.750,0.3036,0.01257,0.00467,0.0048,0.2427,0.9491
3.000,0.3389,0.01282,0.00485,0.0035,0.2304,0.9594
3.250,0.3732,0.01308,0.00503,0.0023,0.2186,0.9692
3.500,0.4128,0.01330,0.00522,-0.0001,0.2067,0.9758
3.750,0.4496,0.01355,0.00541,-0.0019,0.1963,0.9829
4.000,0.4879,0.01381,0.00559,-0.0041,0.1859,0.9885
