Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2412-il-500000-n5
Airfoil,naca2412-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,78.2643
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2412-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.000,-0.8960,0.11667,0.11380,-0.0164,1.0000,0.0169
-16.750,-0.9634,0.09970,0.09661,-0.0259,1.0000,0.0167
-16.500,-1.0157,0.08678,0.08351,-0.0332,1.0000,0.0166
-16.250,-1.0622,0.07512,0.07167,-0.0401,1.0000,0.0165
-16.000,-1.1018,0.06450,0.06085,-0.0467,1.0000,0.0164
-15.750,-1.1318,0.05506,0.05122,-0.0534,1.0000,0.0164
-15.500,-1.1511,0.04741,0.04338,-0.0595,1.0000,0.0164
-15.250,-1.1616,0.04181,0.03762,-0.0641,1.0000,0.0166
-15.000,-1.1658,0.03786,0.03353,-0.0669,1.0000,0.0168
-14.750,-1.1662,0.03502,0.03058,-0.0682,1.0000,0.0171
-14.500,-1.1638,0.03292,0.02836,-0.0683,1.0000,0.0174
-14.250,-1.1596,0.03127,0.02661,-0.0676,1.0000,0.0178
-14.000,-1.1547,0.02991,0.02515,-0.0661,1.0000,0.0182
-13.750,-1.1486,0.02878,0.02390,-0.0642,1.0000,0.0186
-13.500,-1.1384,0.02774,0.02273,-0.0626,1.0000,0.0191
-13.250,-1.1257,0.02678,0.02165,-0.0612,1.0000,0.0196
-13.000,-1.1132,0.02582,0.02059,-0.0597,1.0000,0.0201
-12.750,-1.0990,0.02501,0.01974,-0.0582,1.0000,0.0206
-12.500,-1.0834,0.02433,0.01901,-0.0568,1.0000,0.0212
-12.250,-1.0677,0.02369,0.01828,-0.0553,1.0000,0.0217
-12.000,-1.0521,0.02303,0.01755,-0.0536,1.0000,0.0223
-11.750,-1.0361,0.02240,0.01683,-0.0520,1.0000,0.0229
-11.500,-1.0197,0.02182,0.01615,-0.0503,1.0000,0.0235
-11.250,-1.0026,0.02131,0.01552,-0.0487,1.0000,0.0240
-11.000,-0.9885,0.02053,0.01472,-0.0467,1.0000,0.0246
-10.750,-0.9721,0.01997,0.01411,-0.0450,1.0000,0.0252
-10.500,-0.9536,0.01947,0.01356,-0.0436,0.9998,0.0258
-10.250,-0.9236,0.01891,0.01293,-0.0446,0.9980,0.0267
-10.000,-0.8934,0.01837,0.01232,-0.0455,0.9962,0.0276
-9.750,-0.8625,0.01786,0.01171,-0.0466,0.9944,0.0283
-9.500,-0.8326,0.01733,0.01110,-0.0474,0.9924,0.0290
-9.250,-0.8042,0.01661,0.01035,-0.0481,0.9897,0.0300
-9.000,-0.7738,0.01610,0.00980,-0.0490,0.9874,0.0309
-8.750,-0.7421,0.01563,0.00929,-0.0501,0.9854,0.0318
-8.500,-0.7096,0.01518,0.00879,-0.0514,0.9839,0.0328
-8.250,-0.6803,0.01477,0.00832,-0.0519,0.9806,0.0336
-8.000,-0.6495,0.01436,0.00785,-0.0527,0.9776,0.0343
-7.750,-0.6186,0.01382,0.00728,-0.0537,0.9749,0.0355
-7.500,-0.5864,0.01338,0.00683,-0.0548,0.9726,0.0369
-7.250,-0.5582,0.01301,0.00643,-0.0550,0.9673,0.0380
-7.000,-0.5274,0.01265,0.00603,-0.0556,0.9622,0.0392
-6.750,-0.4967,0.01232,0.00566,-0.0563,0.9568,0.0405
-6.500,-0.4687,0.01197,0.00528,-0.0563,0.9493,0.0423
-6.250,-0.4387,0.01163,0.00494,-0.0568,0.9441,0.0449
-6.000,-0.4118,0.01136,0.00465,-0.0565,0.9360,0.0475
-5.750,-0.3830,0.01106,0.00434,-0.0567,0.9294,0.0512
-5.500,-0.3561,0.01080,0.00408,-0.0565,0.9206,0.0562
-5.250,-0.3281,0.01054,0.00383,-0.0564,0.9127,0.0632
-5.000,-0.3011,0.01030,0.00360,-0.0562,0.9027,0.0711
-4.750,-0.2736,0.01009,0.00339,-0.0560,0.8933,0.0800
-4.500,-0.2463,0.00989,0.00320,-0.0558,0.8826,0.0897
-4.250,-0.2191,0.00970,0.00301,-0.0556,0.8715,0.0988
-4.000,-0.1917,0.00955,0.00283,-0.0554,0.8601,0.1072
-3.750,-0.1644,0.00939,0.00266,-0.0551,0.8484,0.1173
-3.500,-0.1372,0.00923,0.00251,-0.0549,0.8356,0.1292
-3.250,-0.1099,0.00907,0.00237,-0.0547,0.8230,0.1446
-3.000,-0.0828,0.00891,0.00224,-0.0545,0.8100,0.1660
-2.750,-0.0560,0.00872,0.00212,-0.0543,0.7969,0.1978
-2.500,-0.0291,0.00855,0.00202,-0.0540,0.7832,0.2303
-2.250,-0.0020,0.00842,0.00194,-0.0538,0.7691,0.2579
-2.000,0.0253,0.00832,0.00186,-0.0536,0.7548,0.2810
-1.750,0.0527,0.00824,0.00180,-0.0535,0.7402,0.3029
-1.500,0.0799,0.00815,0.00174,-0.0533,0.7255,0.3284
-1.250,0.1070,0.00807,0.00168,-0.0531,0.7102,0.3562
-1.000,0.1341,0.00798,0.00164,-0.0528,0.6948,0.3872
-0.750,0.1609,0.00787,0.00161,-0.0526,0.6787,0.4299
-0.500,0.1875,0.00776,0.00160,-0.0523,0.6623,0.4773
-0.250,0.2140,0.00766,0.00160,-0.0520,0.6452,0.5271
0.000,0.2399,0.00753,0.00162,-0.0516,0.6280,0.5900
0.250,0.2656,0.00742,0.00165,-0.0510,0.6107,0.6491
0.500,0.2916,0.00737,0.00169,-0.0505,0.5934,0.6945
