Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0021-il-200000-n5
Airfoil,naca0021-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,43.591
Max Cl/Cd alpha,9.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0021-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.250,-1.0892,0.10249,0.09601,-0.0345,1.0000,0.0745
-19.000,-1.0937,0.09846,0.09187,-0.0361,1.0000,0.0760
-18.750,-1.0967,0.09470,0.08804,-0.0376,1.0000,0.0775
-18.500,-1.0991,0.09112,0.08444,-0.0390,1.0000,0.0788
-18.250,-1.1020,0.08745,0.08071,-0.0403,1.0000,0.0803
-18.000,-1.1050,0.08379,0.07696,-0.0416,1.0000,0.0820
-17.750,-1.1068,0.08032,0.07338,-0.0428,1.0000,0.0838
-17.500,-1.1082,0.07703,0.07005,-0.0438,1.0000,0.0853
-17.250,-1.1103,0.07364,0.06663,-0.0448,1.0000,0.0868
-17.000,-1.1117,0.07038,0.06330,-0.0457,1.0000,0.0886
-16.750,-1.1116,0.06735,0.06018,-0.0465,1.0000,0.0905
-16.500,-1.1105,0.06447,0.05721,-0.0472,1.0000,0.0925
-16.250,-1.1118,0.06140,0.05413,-0.0479,1.0000,0.0942
-16.000,-1.1117,0.05854,0.05121,-0.0484,1.0000,0.0962
-15.750,-1.1096,0.05593,0.04853,-0.0488,1.0000,0.0985
-15.500,-1.1059,0.05356,0.04606,-0.0491,1.0000,0.1008
-15.250,-1.1056,0.05090,0.04340,-0.0493,1.0000,0.1028
-15.000,-1.1034,0.04850,0.04095,-0.0494,1.0000,0.1052
-14.750,-1.0989,0.04638,0.03876,-0.0494,1.0000,0.1079
-14.500,-1.0937,0.04439,0.03670,-0.0492,1.0000,0.1105
-14.250,-1.0912,0.04223,0.03453,-0.0490,1.0000,0.1129
-14.000,-1.0863,0.04033,0.03260,-0.0486,1.0000,0.1159
-13.750,-1.0787,0.03873,0.03092,-0.0481,1.0000,0.1191
-13.500,-1.0740,0.03697,0.02914,-0.0475,1.0000,0.1219
-13.250,-1.0683,0.03535,0.02751,-0.0467,1.0000,0.1252
-13.000,-1.0599,0.03399,0.02608,-0.0459,1.0000,0.1288
-12.750,-1.0529,0.03260,0.02468,-0.0449,1.0000,0.1321
-12.500,-1.0465,0.03127,0.02334,-0.0437,1.0000,0.1357
-12.250,-1.0374,0.03017,0.02220,-0.0424,1.0000,0.1398
-12.000,-1.0298,0.02907,0.02109,-0.0409,1.0000,0.1436
-11.500,-1.0152,0.02716,0.01915,-0.0372,1.0000,0.1519
-11.250,-1.0094,0.02633,0.01831,-0.0348,1.0000,0.1559
-11.000,-1.0059,0.02554,0.01754,-0.0319,1.0000,0.1600
-10.750,-1.0013,0.02492,0.01690,-0.0289,1.0000,0.1644
-10.500,-0.9993,0.02434,0.01631,-0.0253,1.0000,0.1684
-10.250,-1.0012,0.02380,0.01579,-0.0211,1.0000,0.1725
-10.000,-1.0032,0.02339,0.01537,-0.0165,1.0000,0.1767
-9.750,-0.9962,0.02294,0.01491,-0.0136,0.9986,0.1815
-9.500,-0.9692,0.02226,0.01425,-0.0146,0.9937,0.1886
-9.250,-0.9404,0.02171,0.01369,-0.0157,0.9890,0.1959
-9.000,-0.9139,0.02111,0.01312,-0.0164,0.9828,0.2035
-8.750,-0.8824,0.02060,0.01259,-0.0179,0.9785,0.2115
-8.500,-0.8574,0.02007,0.01210,-0.0180,0.9712,0.2194
-8.250,-0.8268,0.01958,0.01161,-0.0191,0.9656,0.2277
-8.000,-0.7998,0.01909,0.01116,-0.0195,0.9589,0.2363
-7.750,-0.7732,0.01867,0.01073,-0.0197,0.9508,0.2447
-7.500,-0.7427,0.01820,0.01029,-0.0206,0.9452,0.2541
-7.250,-0.7204,0.01784,0.00994,-0.0197,0.9346,0.2623
-7.000,-0.6908,0.01742,0.00954,-0.0203,0.9281,0.2722
-6.750,-0.6694,0.01710,0.00924,-0.0192,0.9167,0.2808
-6.500,-0.6410,0.01672,0.00887,-0.0194,0.9090,0.2910
-6.250,-0.6196,0.01643,0.00860,-0.0182,0.8969,0.3000
-6.000,-0.5922,0.01609,0.00827,-0.0181,0.8883,0.3104
-5.750,-0.5706,0.01583,0.00803,-0.0169,0.8756,0.3197
-5.500,-0.5448,0.01556,0.00774,-0.0164,0.8653,0.3303
-5.250,-0.5220,0.01530,0.00751,-0.0154,0.8528,0.3400
-5.000,-0.4970,0.01508,0.00727,-0.0147,0.8411,0.3507
-4.750,-0.4732,0.01484,0.00704,-0.0138,0.8286,0.3607
-4.500,-0.4485,0.01467,0.00684,-0.0131,0.8159,0.3714
-4.250,-0.4240,0.01445,0.00663,-0.0123,0.8036,0.3817
-3.750,-0.3753,0.01413,0.00629,-0.0107,0.7769,0.4028
-3.500,-0.3501,0.01400,0.00612,-0.0100,0.7631,0.4137
-3.250,-0.3259,0.01385,0.00599,-0.0091,0.7495,0.4243
-3.000,-0.3005,0.01375,0.00583,-0.0085,0.7363,0.4353
-2.750,-0.2762,0.01363,0.00573,-0.0077,0.7221,0.4464
-2.500,-0.2510,0.01355,0.00562,-0.0070,0.7086,0.4576
-2.250,-0.2262,0.01346,0.00552,-0.0062,0.6951,0.4692
-2.000,-0.2012,0.01339,0.00544,-0.0055,0.6812,0.4804
-1.750,-0.1760,0.01333,0.00535,-0.0048,0.6681,0.4923
-1.500,-0.1510,0.01327,0.00529,-0.0041,0.6544,0.5036
-1.250,-0.1258,0.01323,0.00523,-0.0034,0.6413,0.5158
-1.000,-0.1008,0.01319,0.00519,-0.0027,0.6282,0.5273
-0.500,-0.0504,0.01314,0.00513,-0.0013,0.6023,0.5517
