Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0012h-sa-1000000-n5
Airfoil,naca0012h-sa
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,81.8901
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0012h-sa-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
1.250,0.1379,0.00864,0.00165,0.0009,0.2143,0.4234
1.500,0.1647,0.00851,0.00167,0.0012,0.2043,0.4826
1.750,0.1918,0.00840,0.00171,0.0015,0.1954,0.5332
2.250,0.2459,0.00826,0.00181,0.0021,0.1790,0.6276
2.500,0.2730,0.00825,0.00187,0.0024,0.1698,0.6651
2.750,0.3003,0.00823,0.00195,0.0027,0.1634,0.6989
3.000,0.3273,0.00826,0.00204,0.0031,0.1547,0.7320
3.250,0.3545,0.00826,0.00213,0.0034,0.1491,0.7629
3.500,0.3813,0.00830,0.00223,0.0039,0.1420,0.7941
3.750,0.4081,0.00834,0.00234,0.0044,0.1360,0.8226
4.000,0.4348,0.00839,0.00246,0.0049,0.1304,0.8512
4.250,0.4610,0.00848,0.00260,0.0055,0.1247,0.8773
4.500,0.4877,0.00856,0.00273,0.0060,0.1199,0.8983
4.750,0.5143,0.00870,0.00288,0.0065,0.1143,0.9162
5.000,0.5413,0.00883,0.00303,0.0070,0.1102,0.9313
5.250,0.5689,0.00898,0.00318,0.0073,0.1054,0.9444
5.500,0.5970,0.00918,0.00334,0.0074,0.1001,0.9567
5.750,0.6262,0.00934,0.00351,0.0073,0.0968,0.9667
6.000,0.6572,0.00954,0.00368,0.0068,0.0921,0.9724
6.250,0.6875,0.00975,0.00387,0.0064,0.0882,0.9780
6.500,0.7182,0.00994,0.00405,0.0059,0.0851,0.9826
6.750,0.7514,0.01018,0.00425,0.0048,0.0810,0.9865
7.000,0.7843,0.01041,0.00447,0.0038,0.0776,0.9903
7.250,0.8162,0.01063,0.00468,0.0030,0.0749,0.9932
7.500,0.8492,0.01088,0.00491,0.0019,0.0714,0.9947
7.750,0.8816,0.01114,0.00515,0.0009,0.0684,0.9965
8.000,0.9138,0.01137,0.00538,0.0000,0.0661,0.9983
8.250,0.9453,0.01165,0.00564,-0.0008,0.0633,0.9999
8.500,0.9683,0.01192,0.00590,0.0002,0.0607,1.0000
8.750,0.9911,0.01214,0.00613,0.0013,0.0591,1.0000
