Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0012h-sa-500000-n5
Airfoil,naca0012h-sa
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,66.1774
Max Cl/Cd alpha,9.25
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0012h-sa-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.250,-1.2870,0.09275,0.08875,-0.0086,1.0000,0.0319
-18.000,-1.3225,0.08334,0.07920,-0.0137,1.0000,0.0320
-17.750,-1.3570,0.07392,0.06961,-0.0188,1.0000,0.0321
-17.500,-1.3866,0.06524,0.06075,-0.0238,1.0000,0.0322
-17.250,-1.4090,0.05795,0.05328,-0.0280,1.0000,0.0324
-17.000,-1.4244,0.05208,0.04727,-0.0313,1.0000,0.0327
-16.750,-1.4340,0.04736,0.04240,-0.0337,1.0000,0.0331
-16.500,-1.4394,0.04351,0.03843,-0.0353,1.0000,0.0335
-16.250,-1.4413,0.04035,0.03514,-0.0362,1.0000,0.0340
-16.000,-1.4407,0.03768,0.03235,-0.0366,1.0000,0.0345
-15.750,-1.4379,0.03544,0.02999,-0.0366,1.0000,0.0350
-15.500,-1.4329,0.03356,0.02798,-0.0362,1.0000,0.0355
-15.250,-1.4295,0.03168,0.02602,-0.0354,1.0000,0.0361
-15.000,-1.4248,0.03005,0.02431,-0.0344,1.0000,0.0367
-14.750,-1.4177,0.02870,0.02289,-0.0331,1.0000,0.0373
-14.500,-1.4088,0.02754,0.02166,-0.0316,1.0000,0.0380
-14.250,-1.3986,0.02653,0.02057,-0.0300,1.0000,0.0387
-14.000,-1.3871,0.02565,0.01960,-0.0284,1.0000,0.0395
-13.750,-1.3744,0.02486,0.01873,-0.0267,1.0000,0.0403
-13.500,-1.3611,0.02414,0.01793,-0.0249,1.0000,0.0410
-13.250,-1.3485,0.02332,0.01708,-0.0230,1.0000,0.0420
-13.000,-1.3322,0.02261,0.01632,-0.0217,1.0000,0.0430
-12.750,-1.3144,0.02196,0.01562,-0.0204,1.0000,0.0440
-12.500,-1.2955,0.02137,0.01497,-0.0193,1.0000,0.0451
-12.250,-1.2756,0.02082,0.01435,-0.0182,1.0000,0.0462
-12.000,-1.2557,0.02026,0.01373,-0.0172,1.0000,0.0473
-11.750,-1.2359,0.01966,0.01311,-0.0161,1.0000,0.0486
-11.500,-1.2150,0.01913,0.01256,-0.0152,1.0000,0.0500
-11.250,-1.1934,0.01866,0.01204,-0.0143,1.0000,0.0514
-11.000,-1.1713,0.01822,0.01154,-0.0134,1.0000,0.0528
-10.750,-1.1495,0.01775,0.01103,-0.0125,1.0000,0.0542
-10.500,-1.1276,0.01727,0.01055,-0.0116,1.0000,0.0560
-10.250,-1.1051,0.01685,0.01011,-0.0107,1.0000,0.0578
-10.000,-1.0823,0.01647,0.00969,-0.0099,1.0000,0.0596
-9.750,-1.0593,0.01612,0.00929,-0.0090,1.0000,0.0611
-9.500,-1.0372,0.01569,0.00887,-0.0080,1.0000,0.0632
-9.250,-1.0145,0.01533,0.00851,-0.0071,1.0000,0.0655
-9.000,-0.9917,0.01501,0.00816,-0.0061,1.0000,0.0677
-8.750,-0.9691,0.01470,0.00783,-0.0051,1.0000,0.0696
-8.500,-0.9472,0.01434,0.00749,-0.0040,1.0000,0.0722
-8.250,-0.9248,0.01404,0.00718,-0.0029,1.0000,0.0749
-8.000,-0.9022,0.01378,0.00690,-0.0018,1.0000,0.0775
-7.750,-0.8800,0.01349,0.00661,-0.0007,1.0000,0.0799
-7.500,-0.8581,0.01320,0.00634,0.0005,1.0000,0.0829
-7.250,-0.8359,0.01296,0.00609,0.0017,1.0000,0.0861
-7.000,-0.8135,0.01274,0.00587,0.0028,1.0000,0.0889
-6.750,-0.7906,0.01247,0.00562,0.0038,0.9998,0.0925
-6.500,-0.7572,0.01220,0.00537,0.0026,0.9974,0.0968
-6.250,-0.7234,0.01197,0.00514,0.0014,0.9949,0.1009
-6.000,-0.6889,0.01170,0.00491,0.0000,0.9924,0.1060
-5.750,-0.6548,0.01147,0.00469,-0.0013,0.9881,0.1110
-5.500,-0.6192,0.01121,0.00447,-0.0029,0.9842,0.1165
-5.250,-0.5840,0.01099,0.00427,-0.0044,0.9814,0.1222
-5.000,-0.5530,0.01078,0.00409,-0.0050,0.9753,0.1277
-4.750,-0.5190,0.01054,0.00389,-0.0062,0.9695,0.1344
-4.500,-0.4876,0.01036,0.00372,-0.0067,0.9604,0.1399
-4.250,-0.4553,0.01013,0.00355,-0.0075,0.9523,0.1476
-3.750,-0.3960,0.00977,0.00324,-0.0078,0.9276,0.1618
-3.500,-0.3674,0.00963,0.00309,-0.0076,0.9110,0.1693
-3.250,-0.3401,0.00947,0.00294,-0.0072,0.8917,0.1777
-3.000,-0.3131,0.00937,0.00281,-0.0066,0.8703,0.1858
