Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2421-il-500000-n5
Airfoil,naca2421-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,67.5762
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2421-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.500,-1.0668,0.08840,0.08336,-0.0636,1.0000,0.0538
-19.250,-1.0762,0.08388,0.07880,-0.0656,1.0000,0.0544
-19.000,-1.0857,0.07938,0.07423,-0.0675,1.0000,0.0550
-18.750,-1.0947,0.07500,0.06978,-0.0693,1.0000,0.0556
-18.500,-1.1025,0.07081,0.06552,-0.0710,1.0000,0.0563
-18.250,-1.1091,0.06684,0.06147,-0.0725,1.0000,0.0570
-18.000,-1.1143,0.06311,0.05766,-0.0739,1.0000,0.0577
-17.750,-1.1178,0.05964,0.05410,-0.0752,1.0000,0.0585
-17.500,-1.1197,0.05642,0.05079,-0.0762,1.0000,0.0591
-17.250,-1.1266,0.05272,0.04703,-0.0774,1.0000,0.0598
-17.000,-1.1310,0.04938,0.04363,-0.0783,1.0000,0.0605
-16.750,-1.1332,0.04639,0.04058,-0.0790,1.0000,0.0613
-16.500,-1.1337,0.04369,0.03781,-0.0795,1.0000,0.0621
-16.250,-1.1327,0.04125,0.03530,-0.0798,1.0000,0.0629
-16.000,-1.1303,0.03904,0.03302,-0.0798,1.0000,0.0638
-15.750,-1.1268,0.03705,0.03097,-0.0797,1.0000,0.0646
-15.500,-1.1256,0.03500,0.02887,-0.0792,1.0000,0.0655
-15.250,-1.1253,0.03309,0.02692,-0.0784,1.0000,0.0664
-15.000,-1.1248,0.03145,0.02524,-0.0770,1.0000,0.0674
-14.750,-1.1244,0.03003,0.02377,-0.0753,1.0000,0.0684
-14.500,-1.1249,0.02879,0.02249,-0.0730,1.0000,0.0694
-14.250,-1.1270,0.02772,0.02137,-0.0702,1.0000,0.0703
-14.000,-1.1095,0.02647,0.02008,-0.0708,0.9978,0.0716
-13.750,-1.0898,0.02522,0.01880,-0.0718,0.9950,0.0731
-13.500,-1.0674,0.02416,0.01771,-0.0730,0.9927,0.0747
-13.250,-1.0449,0.02325,0.01676,-0.0738,0.9899,0.0765
-13.000,-1.0231,0.02239,0.01586,-0.0743,0.9860,0.0783
-12.750,-1.0003,0.02149,0.01495,-0.0750,0.9826,0.0803
-12.500,-0.9753,0.02072,0.01417,-0.0759,0.9796,0.0825
-12.250,-0.9524,0.02009,0.01349,-0.0761,0.9750,0.0845
-12.000,-0.9320,0.01939,0.01279,-0.0758,0.9689,0.0867
-11.750,-0.9077,0.01875,0.01214,-0.0761,0.9644,0.0894
-11.500,-0.8878,0.01825,0.01161,-0.0753,0.9569,0.0919
-11.250,-0.8666,0.01767,0.01103,-0.0748,0.9497,0.0946
-11.000,-0.8473,0.01719,0.01053,-0.0737,0.9409,0.0976
-10.750,-0.8264,0.01677,0.01007,-0.0727,0.9322,0.1006
-10.500,-0.8084,0.01632,0.00962,-0.0712,0.9231,0.1039
-10.250,-0.7888,0.01595,0.00922,-0.0699,0.9144,0.1074
-10.000,-0.7700,0.01564,0.00888,-0.0684,0.9059,0.1106
-9.750,-0.7503,0.01530,0.00853,-0.0671,0.8967,0.1146
-9.500,-0.7278,0.01502,0.00821,-0.0662,0.8886,0.1185
-9.250,-0.7064,0.01471,0.00790,-0.0651,0.8792,0.1223
-9.000,-0.6833,0.01443,0.00759,-0.0643,0.8708,0.1266
-8.750,-0.6602,0.01420,0.00732,-0.0635,0.8611,0.1306
-8.500,-0.6372,0.01392,0.00703,-0.0626,0.8517,0.1349
-8.250,-0.6132,0.01370,0.00678,-0.0619,0.8424,0.1391
-8.000,-0.5892,0.01347,0.00652,-0.0612,0.8326,0.1432
-7.750,-0.5653,0.01324,0.00628,-0.0605,0.8226,0.1479
-7.500,-0.5405,0.01306,0.00605,-0.0599,0.8120,0.1522
-7.250,-0.5162,0.01284,0.00582,-0.0592,0.8025,0.1568
-7.000,-0.4916,0.01265,0.00560,-0.0586,0.7919,0.1620
-6.750,-0.4664,0.01249,0.00540,-0.0581,0.7817,0.1669
-6.500,-0.4420,0.01228,0.00519,-0.0574,0.7706,0.1730
-6.250,-0.4166,0.01213,0.00501,-0.0569,0.7606,0.1792
-6.000,-0.3919,0.01195,0.00483,-0.0562,0.7496,0.1866
-5.500,-0.3415,0.01165,0.00451,-0.0551,0.7279,0.2035
-5.250,-0.3160,0.01152,0.00437,-0.0546,0.7175,0.2126
-5.000,-0.2906,0.01140,0.00425,-0.0541,0.7056,0.2226
-4.750,-0.2650,0.01129,0.00413,-0.0536,0.6943,0.2318
-4.500,-0.2393,0.01122,0.00402,-0.0531,0.6816,0.2411
-4.250,-0.2136,0.01111,0.00392,-0.0526,0.6696,0.2504
-4.000,-0.1878,0.01107,0.00383,-0.0521,0.6580,0.2596
-3.750,-0.1619,0.01096,0.00374,-0.0516,0.6469,0.2687
-3.500,-0.1359,0.01092,0.00366,-0.0512,0.6361,0.2769
-3.250,-0.1096,0.01085,0.00359,-0.0508,0.6250,0.2846
-3.000,-0.0838,0.01081,0.00352,-0.0503,0.6146,0.2927
-2.750,-0.0568,0.01077,0.00346,-0.0500,0.6050,0.2997
-2.500,-0.0313,0.01071,0.00340,-0.0495,0.5954,0.3086
-2.250,-0.0044,0.01067,0.00336,-0.0492,0.5866,0.3172
-2.000,0.0215,0.01063,0.00331,-0.0487,0.5769,0.3256
-1.750,0.0478,0.01060,0.00328,-0.0483,0.5681,0.3355
-1.500,0.0739,0.01056,0.00325,-0.0479,0.5586,0.3460
-1.250,0.0999,0.01055,0.00323,-0.0474,0.5502,0.3578
-1.000,0.1264,0.01049,0.00321,-0.0471,0.5426,0.3699
-0.750,0.1525,0.01048,0.00320,-0.0467,0.5346,0.3835
-0.500,0.1784,0.01044,0.00320,-0.0462,0.5278,0.4000
-0.250,0.2048,0.01038,0.00320,-0.0459,0.5206,0.4167
0.000,0.2301,0.01036,0.00322,-0.0453,0.5125,0.4367
0.250,0.2556,0.01031,0.00324,-0.0448,0.5043,0.4618
0.500,0.2808,0.01028,0.00327,-0.0442,0.4947,0.4863
0.750,0.3059,0.01029,0.00331,-0.0436,0.4859,0.5063
1.000,0.3319,0.01029,0.00335,-0.0431,0.4770,0.5245
1.250,0.3569,0.01034,0.00340,-0.0425,0.4685,0.5416
1.500,0.3834,0.01036,0.00346,-0.0421,0.4600,0.5582
1.750,0.4083,0.01041,0.00352,-0.0415,0.4504,0.5732
2.000,0.4342,0.01045,0.00359,-0.0410,0.4428,0.5873
2.250,0.4601,0.01050,0.00366,-0.0406,0.4350,0.6023
2.500,0.4846,0.01058,0.00375,-0.0399,0.4275,0.6178
2.750,0.5107,0.01061,0.00383,-0.0395,0.4200,0.6338
3.000,0.5354,0.01070,0.00393,-0.0388,0.4114,0.6500
3.250,0.5602,0.01076,0.00404,-0.0381,0.4040,0.6655
3.500,0.5853,0.01084,0.00415,-0.0376,0.3965,0.6810
4.000,0.6337,0.01102,0.00441,-0.0360,0.3813,0.7182
4.250,0.6570,0.01113,0.00456,-0.0351,0.3732,0.7380
4.500,0.6804,0.01124,0.00472,-0.0342,0.3662,0.7579
4.750,0.7036,0.01134,0.00489,-0.0332,0.3583,0.7789
5.000,0.7237,0.01150,0.00508,-0.0317,0.3503,0.8018
5.250,0.7453,0.01160,0.00526,-0.0303,0.3426,0.8287
5.500,0.7640,0.01178,0.00550,-0.0285,0.3339,0.8578
5.750,0.7848,0.01196,0.00574,-0.0270,0.3263,0.8836
6.000,0.8053,0.01219,0.00599,-0.0255,0.3180,0.9042
6.250,0.8260,0.01246,0.00626,-0.0241,0.3107,0.9215
6.500,0.8492,0.01271,0.00652,-0.0232,0.3026,0.9367
6.750,0.8721,0.01305,0.00683,-0.0224,0.2941,0.9506
7.000,0.8980,0.01333,0.00711,-0.0223,0.2849,0.9629
7.250,0.9251,0.01372,0.00746,-0.0225,0.2753,0.9732
7.500,0.9535,0.01411,0.00780,-0.0231,0.2641,0.9816
7.750,0.9811,0.01453,0.00818,-0.0236,0.2534,0.9898
8.000,1.0096,0.01502,0.00861,-0.0245,0.2428,0.9955
8.250,1.0349,0.01547,0.00901,-0.0247,0.2333,1.0000
8.500,1.0428,0.01586,0.00937,-0.0214,0.2265,1.0000
8.750,1.0552,0.01628,0.00975,-0.0190,0.2193,1.0000
9.000,1.0671,0.01682,0.01025,-0.0168,0.2121,1.0000
9.250,1.0828,0.01729,0.01071,-0.0152,0.2055,1.0000
9.500,1.0966,0.01790,0.01129,-0.0134,0.1995,1.0000
9.750,1.1131,0.01842,0.01181,-0.0121,0.1944,1.0000
10.000,1.1291,0.01901,0.01239,-0.0108,0.1889,1.0000
10.250,1.1429,0.01974,0.01309,-0.0093,0.1836,1.0000
10.500,1.1599,0.02033,0.01370,-0.0082,0.1787,1.0000
10.750,1.1746,0.02106,0.01442,-0.0070,0.1731,1.0000
11.000,1.1887,0.02187,0.01522,-0.0058,0.1680,1.0000
11.250,1.2036,0.02265,0.01601,-0.0047,0.1624,1.0000
11.500,1.2157,0.02364,0.01697,-0.0035,0.1571,1.0000
11.750,1.2301,0.02451,0.01786,-0.0025,0.1518,1.0000
12.000,1.2411,0.02562,0.01896,-0.0013,0.1463,1.0000
12.250,1.2538,0.02667,0.02001,-0.0004,0.1414,1.0000
12.500,1.2643,0.02789,0.02124,0.0006,0.1362,1.0000
12.750,1.2746,0.02917,0.02252,0.0016,0.1318,1.0000
13.000,1.2847,0.03049,0.02385,0.0025,0.1271,1.0000
13.250,1.2926,0.03204,0.02540,0.0034,0.1231,1.0000
13.500,1.3026,0.03346,0.02686,0.0041,0.1193,1.0000
13.750,1.3103,0.03511,0.02852,0.0048,0.1155,1.0000
14.000,1.3172,0.03686,0.03030,0.0054,0.1123,1.0000
14.250,1.3248,0.03860,0.03207,0.0060,0.1087,1.0000
14.500,1.3298,0.04063,0.03412,0.0065,0.1054,1.0000
14.750,1.3356,0.04261,0.03613,0.0069,0.1024,1.0000
15.000,1.3409,0.04469,0.03825,0.0072,0.0992,1.0000
15.250,1.3433,0.04708,0.04067,0.0075,0.0962,1.0000
15.500,1.3480,0.04930,0.04294,0.0077,0.0936,1.0000
15.750,1.3514,0.05170,0.04538,0.0078,0.0909,1.0000
16.000,1.3521,0.05440,0.04812,0.0079,0.0883,1.0000
16.250,1.3543,0.05697,0.05074,0.0079,0.0860,1.0000
16.500,1.3557,0.05968,0.05350,0.0078,0.0835,1.0000
16.750,1.3548,0.06269,0.05655,0.0076,0.0811,1.0000
17.000,1.3544,0.06567,0.05958,0.0073,0.0790,1.0000
17.250,1.3539,0.06869,0.06266,0.0070,0.0768,1.0000
17.500,1.3514,0.07199,0.06600,0.0066,0.0746,1.0000
17.750,1.3481,0.07541,0.06947,0.0061,0.0727,1.0000
18.000,1.3465,0.07868,0.07281,0.0055,0.0709,1.0000
18.250,1.3434,0.08215,0.07634,0.0049,0.0691,1.0000
18.500,1.3386,0.08584,0.08007,0.0041,0.0674,1.0000
18.750,1.3338,0.08961,0.08391,0.0033,0.0661,1.0000
19.000,1.3318,0.09304,0.08740,0.0024,0.0646,1.0000
19.250,1.3275,0.09681,0.09124,0.0014,0.0632,1.0000
