Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2421-il-200000-n5
Airfoil,naca2421-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,53.3172
Max Cl/Cd alpha,7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2421-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.250,-0.9337,0.10200,0.09591,-0.0615,1.0000,0.0683
-19.000,-0.9466,0.09656,0.09034,-0.0643,1.0000,0.0693
-18.750,-0.9603,0.09107,0.08469,-0.0670,1.0000,0.0704
-18.500,-0.9683,0.08660,0.08012,-0.0691,1.0000,0.0714
-18.250,-0.9680,0.08350,0.07701,-0.0703,1.0000,0.0722
-18.000,-0.9707,0.07994,0.07341,-0.0719,1.0000,0.0732
-17.750,-0.9747,0.07622,0.06961,-0.0735,1.0000,0.0742
-17.500,-0.9790,0.07252,0.06583,-0.0750,1.0000,0.0753
-17.250,-0.9832,0.06890,0.06209,-0.0764,1.0000,0.0764
-17.000,-0.9869,0.06540,0.05845,-0.0777,1.0000,0.0776
-16.750,-0.9872,0.06254,0.05559,-0.0785,1.0000,0.0785
-16.500,-0.9882,0.05963,0.05265,-0.0793,1.0000,0.0796
-16.250,-0.9895,0.05674,0.04970,-0.0801,1.0000,0.0807
-16.000,-0.9903,0.05399,0.04687,-0.0807,1.0000,0.0820
-15.750,-0.9905,0.05140,0.04419,-0.0811,1.0000,0.0834
-15.500,-0.9900,0.04897,0.04165,-0.0813,1.0000,0.0847
-15.250,-0.9902,0.04666,0.03935,-0.0812,1.0000,0.0859
-15.000,-0.9904,0.04447,0.03713,-0.0810,1.0000,0.0871
-14.750,-0.9901,0.04244,0.03505,-0.0805,1.0000,0.0885
-14.500,-0.9895,0.04058,0.03314,-0.0797,1.0000,0.0900
-14.250,-0.9887,0.03891,0.03139,-0.0786,1.0000,0.0916
-14.000,-0.9893,0.03733,0.02976,-0.0771,1.0000,0.0930
-13.750,-0.9920,0.03579,0.02823,-0.0752,1.0000,0.0943
-13.500,-0.9950,0.03445,0.02686,-0.0729,1.0000,0.0957
-13.250,-0.9985,0.03329,0.02566,-0.0701,1.0000,0.0973
-13.000,-1.0028,0.03227,0.02459,-0.0669,1.0000,0.0989
-12.750,-1.0078,0.03139,0.02364,-0.0633,1.0000,0.1005
-12.500,-1.0075,0.03035,0.02261,-0.0608,0.9988,0.1021
-12.250,-0.9863,0.02922,0.02145,-0.0620,0.9948,0.1048
-12.000,-0.9618,0.02828,0.02044,-0.0633,0.9916,0.1080
-11.750,-0.9410,0.02734,0.01947,-0.0637,0.9863,0.1109
-11.500,-0.9181,0.02646,0.01858,-0.0645,0.9817,0.1141
-11.250,-0.8903,0.02572,0.01777,-0.0658,0.9784,0.1180
-11.000,-0.8710,0.02498,0.01702,-0.0655,0.9716,0.1212
-10.750,-0.8454,0.02427,0.01630,-0.0662,0.9669,0.1251
-10.500,-0.8138,0.02365,0.01560,-0.0678,0.9638,0.1297
-10.250,-0.7968,0.02301,0.01499,-0.0666,0.9553,0.1332
-10.000,-0.7692,0.02241,0.01436,-0.0673,0.9500,0.1379
-9.750,-0.7445,0.02186,0.01377,-0.0672,0.9437,0.1422
-9.500,-0.7232,0.02131,0.01323,-0.0665,0.9356,0.1466
-9.250,-0.6933,0.02079,0.01266,-0.0673,0.9309,0.1519
-9.000,-0.6749,0.02033,0.01221,-0.0659,0.9218,0.1561
-8.750,-0.6499,0.01985,0.01172,-0.0657,0.9152,0.1614
-8.500,-0.6228,0.01941,0.01124,-0.0657,0.9093,0.1668
-8.250,-0.6039,0.01900,0.01087,-0.0643,0.8997,0.1719
-8.000,-0.5763,0.01858,0.01041,-0.0644,0.8936,0.1782
-7.750,-0.5554,0.01822,0.01007,-0.0632,0.8845,0.1838
-7.500,-0.5309,0.01785,0.00970,-0.0627,0.8765,0.1907
-7.250,-0.5052,0.01749,0.00933,-0.0623,0.8691,0.1977
-7.000,-0.4830,0.01720,0.00905,-0.0613,0.8592,0.2052
-6.750,-0.4560,0.01686,0.00870,-0.0611,0.8520,0.2132
-6.500,-0.4335,0.01662,0.00846,-0.0601,0.8418,0.2216
-6.250,-0.4076,0.01633,0.00816,-0.0597,0.8330,0.2302
-6.000,-0.3831,0.01611,0.00793,-0.0590,0.8236,0.2395
-5.750,-0.3581,0.01586,0.00768,-0.0584,0.8140,0.2483
-5.500,-0.3322,0.01566,0.00745,-0.0580,0.8046,0.2582
-5.250,-0.3078,0.01544,0.00724,-0.0573,0.7941,0.2673
-5.000,-0.2814,0.01527,0.00702,-0.0569,0.7847,0.2774
-4.750,-0.2570,0.01507,0.00684,-0.0561,0.7738,0.2863
-4.500,-0.2306,0.01492,0.00663,-0.0557,0.7640,0.2962
-4.250,-0.2059,0.01475,0.00647,-0.0550,0.7527,0.3048
-4.000,-0.1798,0.01460,0.00628,-0.0545,0.7426,0.3144
-3.750,-0.1548,0.01446,0.00614,-0.0539,0.7309,0.3235
-3.500,-0.1292,0.01433,0.00598,-0.0533,0.7203,0.3336
-3.250,-0.1040,0.01422,0.00586,-0.0527,0.7086,0.3432
-3.000,-0.0786,0.01410,0.00573,-0.0521,0.6978,0.3542
-2.750,-0.0535,0.01400,0.00562,-0.0515,0.6863,0.3653
-2.500,-0.0281,0.01390,0.00552,-0.0509,0.6760,0.3777
-2.250,-0.0032,0.01380,0.00544,-0.0502,0.6650,0.3903
-2.000,0.0223,0.01374,0.00536,-0.0496,0.6552,0.4046
-1.750,0.0470,0.01365,0.00531,-0.0489,0.6444,0.4200
-1.500,0.0721,0.01358,0.00526,-0.0482,0.6347,0.4363
-1.250,0.0969,0.01351,0.00524,-0.0475,0.6245,0.4538
-0.750,0.1465,0.01341,0.00524,-0.0461,0.6064,0.4973
-0.500,0.1712,0.01338,0.00524,-0.0454,0.5972,0.5199
-0.250,0.1963,0.01336,0.00527,-0.0447,0.5882,0.5396
0.000,0.2215,0.01337,0.00528,-0.0440,0.5787,0.5581
0.250,0.2467,0.01338,0.00532,-0.0434,0.5705,0.5762
0.500,0.2720,0.01338,0.00538,-0.0427,0.5620,0.5933
0.750,0.2975,0.01342,0.00541,-0.0421,0.5542,0.6096
1.000,0.3230,0.01346,0.00549,-0.0415,0.5464,0.6269
1.250,0.3479,0.01349,0.00557,-0.0408,0.5378,0.6442
1.500,0.3729,0.01355,0.00563,-0.0401,0.5295,0.6614
1.750,0.3976,0.01360,0.00573,-0.0393,0.5200,0.6787
