Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca6412-il-1000000-n5
Airfoil,naca6412-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,136.614
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca6412-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.500,-0.3133,0.14165,0.13978,-0.0534,0.9966,0.0099
-14.250,-0.3023,0.13860,0.13673,-0.0557,0.9958,0.0100
-13.250,-0.7265,0.02680,0.02365,-0.1446,0.9505,0.0142
-13.000,-0.7102,0.02449,0.02114,-0.1458,0.9447,0.0144
-12.750,-0.6912,0.02284,0.01932,-0.1464,0.9398,0.0145
-12.500,-0.6710,0.02151,0.01785,-0.1467,0.9342,0.0147
-12.250,-0.6492,0.02043,0.01662,-0.1467,0.9291,0.0148
-12.000,-0.6266,0.01946,0.01552,-0.1468,0.9245,0.0150
-11.750,-0.6051,0.01832,0.01426,-0.1468,0.9189,0.0153
-11.500,-0.5819,0.01745,0.01328,-0.1466,0.9135,0.0156
-11.250,-0.5575,0.01678,0.01251,-0.1465,0.9086,0.0159
-11.000,-0.5327,0.01619,0.01185,-0.1464,0.9031,0.0162
-10.750,-0.5076,0.01564,0.01121,-0.1462,0.8976,0.0165
-10.500,-0.4822,0.01512,0.01059,-0.1461,0.8924,0.0168
-10.250,-0.4568,0.01458,0.00996,-0.1459,0.8861,0.0171
-10.000,-0.4314,0.01411,0.00937,-0.1456,0.8787,0.0174
-9.750,-0.4056,0.01367,0.00883,-0.1454,0.8705,0.0177
-9.500,-0.3799,0.01329,0.00833,-0.1451,0.8613,0.0179
-9.250,-0.3540,0.01284,0.00779,-0.1449,0.8529,0.0182
-9.000,-0.3283,0.01238,0.00725,-0.1446,0.8454,0.0187
-8.750,-0.3019,0.01201,0.00681,-0.1444,0.8388,0.0191
-8.500,-0.2754,0.01170,0.00642,-0.1442,0.8313,0.0195
-8.250,-0.2487,0.01141,0.00607,-0.1440,0.8246,0.0200
-8.000,-0.2217,0.01115,0.00574,-0.1438,0.8173,0.0206
-7.750,-0.1950,0.01090,0.00540,-0.1435,0.8101,0.0210
-7.500,-0.1679,0.01066,0.00509,-0.1433,0.8023,0.0214
-7.250,-0.1416,0.01037,0.00473,-0.1430,0.7939,0.0222
-7.000,-0.1146,0.01012,0.00443,-0.1428,0.7860,0.0228
-6.750,-0.0877,0.00993,0.00418,-0.1426,0.7781,0.0236
-6.500,-0.0604,0.00974,0.00393,-0.1424,0.7705,0.0244
-6.250,-0.0335,0.00959,0.00371,-0.1421,0.7616,0.0252
-6.000,-0.0065,0.00939,0.00347,-0.1419,0.7525,0.0265
-5.750,0.0202,0.00925,0.00328,-0.1416,0.7433,0.0277
-5.500,0.0475,0.00912,0.00309,-0.1414,0.7340,0.0290
-5.250,0.0743,0.00899,0.00291,-0.1411,0.7246,0.0305
-5.000,0.1012,0.00888,0.00275,-0.1408,0.7142,0.0324
-4.750,0.1282,0.00880,0.00261,-0.1405,0.7041,0.0341
-4.250,0.1820,0.00861,0.00235,-0.1399,0.6840,0.0391
-4.000,0.2088,0.00854,0.00223,-0.1396,0.6742,0.0417
-3.750,0.2357,0.00847,0.00214,-0.1393,0.6638,0.0446
-3.500,0.2625,0.00843,0.00204,-0.1390,0.6533,0.0474
-3.250,0.2890,0.00839,0.00197,-0.1387,0.6421,0.0511
-3.000,0.3159,0.00836,0.00189,-0.1384,0.6307,0.0548
-2.750,0.3425,0.00832,0.00183,-0.1380,0.6204,0.0595
-2.500,0.3690,0.00831,0.00178,-0.1377,0.6099,0.0637
